"id","certificateid","courseid","coursename","cpath","startdate","enddate","duration","flag","certificatetype","createdate"
"154","ISS--EXS--10--24","VERSATILE EXCEL SKILLS - Oct 2024","VERSATILE EXCEL SKILLS FOR BASIC AND ADVANCED APPLICATIONS","82608.jpg","14/10/2024","25/10/2024","2 weeks","0","landscape","2024-10-26 17:26:03"
"155","ISS--ERMS--10--24","EFFECTIVE RESEARCH MANAGEMENT WITH MS OFFICE - Oct 2024","EFFECTIVE RESEARCH MANAGEMENT WITH MS OFFICE: A HANDS-ON WORKSHOP","e66fd.jpg","25/10/2024","27/10/2024","3 Days","0","landscape","2024-10-26 18:46:04"
"156","ISS--PBIX--10--24","CRAFTING INTERACTIVE DASHBOARDS AND VISUALS - OCT 2024","CRAFTING INTERACTIVE DASHBOARDS AND VISUALS: ELEVATING DATA WITH POWER BI","8bf66.jpg","28/10/2024","30/10/2024","3 Days","0","landscape","2024-10-30 15:09:05"
"157","ISS--AMOS--11--24","APPLYING AMOS FOR STRUCTURAL EQUATION MODELING - NOV 2024","APPLYING AMOS FOR STRUCTURAL EQUATION MODELING: A DEEP DIVE INTO CFA, RELIABILITY AND VALIDITY","bdde9.jpg","04/11/2024","06/11/2024","3 Days","0","landscape","2024-11-06 15:07:46"
"158","ISS--PBIAI--11--24","UNLOCKING POWER BI - Oct Nov 2024","UNLOCKING POWER BI ADVANCED VISUALIZATION, DATA MODELING AND AI TOOLS","d72cf.jpg","28/10/2024","11/11/2024","2 weeks","0","landscape","2024-11-07 21:33:41"
"159","ISS--ET--10--24","ESSENTIAL TOOLS - OCT NOV 2024","ESSENTIAL TOOLS FOR EFFECTIVE DATA VISUALIZATION AND ANALYSIS","c8edb.jpg","14/10/2024","08/11/2024","1 Month","0","landscape","2024-11-08 15:56:52"
"160","ISS--PYUI--11--24","CRAFTING SOLUTIONS WITH PYTHON: PROGRAMMING AND GUI DEVELOPMENT - NOV 2024","CRAFTING SOLUTIONS WITH PYTHON: PROGRAMMING AND GUI DEVELOPMENT","9c5e9.jpg","11/11/2024","13/11/2024","3 Days","0","landscape","2024-11-11 19:34:29"
"161","ISS--RP--11--24","ESSENTIAL PARAMETERS FOR WRITING A HIGH-QUALITY RESEARCH PAPER - Nov 2024","ESSENTIAL PARAMETERS FOR WRITING A HIGH-QUALITY RESEARCH PAPER","d57f0.jpg","18/11/2024","22/11/2024","5 Days","0","landscape","2024-11-22 15:05:17"
"162","ISS--DM--09--24","DATA MASTERY - Sep 2024","DATA MASTERY: EXCEL TECHNIQUES AND PYTHON FUNDAMENTALS","868ec.jpg","09/09/2024","04/10/2024","1 Month","0","landscape","2024-11-23 18:41:49"
"163","ISS--ECPY--11--24","EMPOWER YOUR CODING JOURNEY - Nov 2024","EMPOWER YOUR CODING JOURNEY: DIVE INTO PYTHON PROGRAMMING","45009.jpg","11/11/2024","22/11/2024","2 weeks","0","landscape","2024-11-23 18:48:12"
"164","ISS--MEXL--11--24","MASTERING EXCEL - NOV 2024","MASTERING EXCEL FOR POWERFUL DATA SOLUTIONS","c94a0.jpg","27/11/2024","29/11/2024","3 Days","0","landscape","2024-11-29 07:44:46"
